1652378172.502736 client started (11983): version 3.2a, socket /private/tmp/tmux-503/default, protocol 8
1652378172.502816 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1652378172.502838 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1652378172.505798 sending message 105 to peer 0x7fed80008000 (19 bytes)
1652378172.505804 sending message 105 to peer 0x7fed80008000 (30 bytes)
1652378172.505810 sending message 105 to peer 0x7fed80008000 (35 bytes)
1652378172.505816 sending message 105 to peer 0x7fed80008000 (56 bytes)
1652378172.505822 sending message 105 to peer 0x7fed80008000 (40 bytes)
1652378172.505827 sending message 105 to peer 0x7fed80008000 (35 bytes)
1652378172.505833 sending message 105 to peer 0x7fed80008000 (43 bytes)
1652378172.505840 sending message 105 to peer 0x7fed80008000 (32 bytes)
1652378172.505846 sending message 105 to peer 0x7fed80008000 (17 bytes)
1652378172.505852 sending message 105 to peer 0x7fed80008000 (22 bytes)
1652378172.505857 sending message 106 to peer 0x7fed80008000 (0 bytes)
1652378172.505872 sending message 200 to peer 0x7fed80008000 (4 bytes)
1652378172.505879 client loop enter
1652378172.506188 peer 0x7fed80008000 message 303
1652378172.506204 open write file 2 -
1652378172.506236 sending message 305 to peer 0x7fed80008000 (8 bytes)
1652378172.506259 write check file 2
1652378172.506293 peer 0x7fed80008000 message 304
1652378172.506301 write 58 to file 2
1652378172.506320 peer 0x7fed80008000 message 203
1652378172.506328 file 2 58 bytes left
1652378172.506346 write check file 2
1652378172.506353 client loop exit
